angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.13,"(19, 19, 512, 512)",0.0,0.01,0.0,0.69,0.17,0.0
0.27,"(21, 22, 478, 478)",0.0,0.05,0.15,0.36,0.15,0.02
0.07,"(-13, 32, 538, 538)",0.0,0.09,0.0,0.18,0.66,0.0
0.07,"(-66, 46, 549, 549)",0.0,0.07,0.0,0.2,0.65,0.0
0.13,"(-72, 71, 532, 532)",0.0,0.08,0.0,0.04,0.75,0.0
0.12,"(-56, 94, 520, 520)",0.0,0.09,0.0,0.05,0.73,0.0
0.09,"(-56, 93, 523, 523)",0.0,0.07,0.01,0.07,0.76,0.0
0.1,"(-62, 80, 537, 537)",0.0,0.1,0.0,0.04,0.75,0.0
0.03,"(-50, 83, 525, 525)",0.0,0.04,0.0,0.03,0.89,0.0
0.26,"(-58, 81, 527, 527)",0.0,0.07,0.01,0.21,0.45,0.0
0.4,"(-36, 90, 504, 504)",0.0,0.08,0.01,0.2,0.31,0.0
0.32,"(-32, 81, 511, 511)",0.0,0.07,0.01,0.22,0.38,0.0
0.16,"(-27, 81, 502, 502)",0.0,0.06,0.01,0.53,0.25,0.0
0.01,"(-15, 81, 492, 492)",0.0,0.03,0.0,0.44,0.51,0.0
0.06,"(-5, 54, 504, 504)",0.0,0.06,0.0,0.72,0.16,0.0
0.23,"(4, 28, 503, 503)",0.0,0.06,0.01,0.59,0.1,0.01
0.18,"(3, 21, 508, 508)",0.0,0.13,0.01,0.49,0.06,0.14
0.14,"(4, 19, 527, 527)",0.0,0.02,0.0,0.78,0.02,0.03
0.21,"(17, 21, 493, 493)",0.0,0.04,0.0,0.62,0.06,0.08
